Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin
487,G089940E27951N,PPhgr16_192,89.94,27.951,0.442,5463, 5136,5290,61,24,0,247,Pho Chhu
488,G089922E27963N,PPhgr16_196,89.922,27.963,0.774,5507, 5163,5344,57,14,0,168,Pho Chhu
489,G089956E27897N,PPhgr16_185,89.956,27.897,0.302,5243, 5033,5136,55,19,0,265,Pho Chhu
490,G089945E27946N,PPhgr16_190,89.945,27.946,0.052,5280, 5096,5193,59,28,5,66,Pho Chhu
491,G089944E27953N,PPhgr16_193,89.944,27.953,0.084,5481, 5254,5359,49,25,2,194.0,Pho Chhu
492,G089937E27981N,PPhgr16_199,89.937,27.981,0.117,5409, 5281,5355.0,54,22,1,190,Pho Chhu
493,G089939E27984N,PPhgr16_200,89.939,27.984,0.047,5232, 5136,5182.0,40,17,1,61,Pho Chhu
494,G089942E27993N,PPhgr16_201,89.942,27.993,0.58,5389, 5049,5232.0,60,15,0,93,Pho Chhu
495,G089929E27994N,PPhgr16_202,89.929,27.994,0.791,5645,5130,5322,65,23,0,164,Pho Chhu
496,G089919E28001N,PPhgr16_203,89.919,28.001,0.043,5302,5219,5275,39,17,1,92,Pho Chhu
497,G089911E28006N,PPhgr16_204,89.911,28.006,0.775,5651,5144,5383,56,16,0,99,Pho Chhu
498,G089890E28042N,PPhgr16_213,89.89,28.042,0.412,5535,5274,5395,74,21,1,120,Pho Chhu
499,G089902E28041N,PPhgr16_215,89.902,28.041,0.116,5383,5230,5321,53,25,2,174,Pho Chhu
500,G089898E28045N,PPhgr16_216,89.898,28.045,0.092,5117,5001,5046,48,13,0,154,Pho Chhu
501,G089890E28055N,PPhgr16_218,89.89,28.055,0.063,5232,5087,5158,62,27,1,279,Pho Chhu
502,G089880E28047N,PPhgr16_211,89.88,28.047,0.833,5810,4984,5293,76,25,0,217,Pho Chhu
503,G089882E28030N,PPhgr16_207,89.882,28.03,0.815,5910,5187,5554,68,27,0,110,Pho Chhu
504,G089928E27961N,PPhgr16_197,89.928,27.961,0.042,5234,5159,5204,40,18,1,142,Pho Chhu
505,G089907E28013N,PPhgr16_205,89.907,28.013,0.05,5265,5187,5221,49,18,1,88,Pho Chhu
506,G089891E28048N,PPhgr16_217,89.891,28.048,0.112,5577,5272,5451,74,36,1,116,Pho Chhu
507,G089950E27942N,PPhgr16_189,89.95,27.942,0.245,5209,4900,5067,65,19,0,153,Pho Chhu
508,G089941E27945N,PPhgr16_191,89.941,27.945,0.168,5391,5162,5293,53,22,1,232,Pho Chhu
509,G089878E28037N,PPhgr16_208,89.878,28.037,0.046,5878,5801,5823,62,16,0,189,Pho Chhu
510,G089884E28036N,PPhgr16_209,89.884,28.036,0.235,5912,5360,5657,69,32,4,133,Pho Chhu
511,G089940E27957N,PPhgr16_194,89.94,27.957,0.08,5255,5072,5173,55,24,1,163,Pho Chhu
512,G089900E28019N,PPhgr16_206,89.9,28.019,0.22,5435,5173,5301,67,20,1,122,Pho Chhu
513,G089884E28039N,PPhgr16_210,89.884,28.039,0.072,5849,5547,5714,65,36,2,120,Pho Chhu
514,G089897E28041N,PPhgr16_214,89.897,28.041,0.048,5312,5176,5242,49,27,2,233,Pho Chhu
515,G089867E28070N,PPhgr16_220,89.867,28.07,1.036,5464,4820,5221,75,18,0,112,Pho Chhu
516,G089876E28068N,PPhgr16_219,89.876,28.068,0.554,5308,5013,5151,62,20,0,141,Pho Chhu
517,G089863E28078N,PPhgr16_221,89.863,28.078,0.46,5427,5118,5262,66,23,1,85,Pho Chhu
518,G089864E28096N,PPhgr16_222,89.864,28.096,0.929,6162,4879,5577,76,33,1,159,Pho Chhu
519,G089872E28097N,PPhgr16_224,89.872,28.097,0.292,5851,5149,5421,69,34,2,174,Pho Chhu
520,G089878E28093N,PPhgr16_225,89.878,28.093,0.144,5386,5155,5271,56,28,1,192,Pho Chhu
521,G089879E28101N,PPhgr16_226,89.879,28.101,0.714,5876,4853,5267,74,30,1,117,Pho Chhu
522,G089879E28116N,PPhgr16_228,89.879,28.116,3.666,6245,4642,5275,74,24,0,106,Pho Chhu
523,G089893E28131N,PPhgr16_229,89.893,28.131,0.525,5567,5128,5328,72,25,0,113,Pho Chhu
524,G089890E28146N,PPhgr16_230,89.89,28.146,1.066,5724,5167,5448,66,17,0,131,Pho Chhu
525,G089895E28165N,PPhgr16_232,89.895,28.165,0.05,5534,5384,5475,61,28,3,108,Pho Chhu
526,G089921E28167N,PPhgr16_233,89.921,28.167,12.893,7085,4653,5688,79,26,0,221,Pho Chhu
527,G089917E28143N,PPhgr16_238,89.917,28.143,0.696,5755,5070,5332,70,32,1,278,Pho Chhu
528,G089917E28136N,PPhgr16_239,89.917,28.136,0.233,5515,4984,5244,61,29,1,240,Pho Chhu
529,G089926E28135N,PPhgr16_240,89.926,28.135,0.442,5537,5103,5347,61,26,0,200,Pho Chhu
530,G089926E28145N,PPhgr16_237,89.926,28.145,0.661,5886,5218,5471,69,27,0,120,Pho Chhu
531,G089929E28156N,PPhgr16_236,89.929,28.156,1.094,6364,5286,5699,67,35,1,137,Pho Chhu
532,G089938E28158N,PPhgr16_235,89.938,28.158,0.512,5658,5163,5387,63,29,2,158,Pho Chhu
533,G089949E28149N,PPhgr16_241,89.949,28.149,4.087,6247,4611,5245,77,26,0,212,Pho Chhu
534,G089964E28143N,PPhgr16_247,89.964,28.143,2.165,6272,4979,5397,72,23,0,184,Pho Chhu
535,G089975E28130N,PPhgr16_249,89.975,28.13,0.42,5357,5050,5198,65,29,0,265,Pho Chhu
536,G089929E28103N,PPhgr16_242,89.929,28.103,0.79,5751,4994,5291,76,30,1,260,Pho Chhu
537,G089938E28096N,PPhgr16_244,89.938,28.096,1.849,5792,5080,5374,69,18,0,173,Pho Chhu
538,G089945E28106N,PPhgr16_245,89.945,28.106,1.105,5762,5232,5393,68,18,0,98,Pho Chhu
539,G089965E28103N,PPhgr16_252,89.965,28.103,1.145,5736,5110,5437,63,25,0,243,Pho Chhu
540,G089970E28079N,PPhgr16_254,89.97,28.079,0.24,5619,5189,5347,69,26,1,278,Pho Chhu
541,G089972E28075N,PPhgr16_255,89.972,28.075,0.109,5645,5341,5490,58,29,4,201,Pho Chhu
542,G089971E28069N,PPhgr16_256,89.971,28.069,0.4,5422,5091,5205,71,19,0,260,Pho Chhu
543,G089976E28066N,PPhgr16_257,89.976,28.066,0.031,5403,5223,5316,65,37,11,216,Pho Chhu
544,G089981E28078N,PPhgr16_259,89.981,28.078,0.781,5636,5192,5412,64,20,1,101,Pho Chhu
545,G089980E28084N,PPhgr16_260,89.98,28.084,0.536,5596,5160,5367,63,23,1,79,Pho Chhu
546,G089978E28091N,PPhgr16_261,89.978,28.091,0.368,5629,5264,5443,66,26,0,100,Pho Chhu
547,G089978E28097N,PPhgr16_262,89.978,28.097,0.467,5599,5209,5386,61,23,1,81,Pho Chhu
548,G089979E28107N,PPhgr16_264,89.979,28.107,0.225,5379,5073,5178,56,21,0,106,Pho Chhu
549,G089982E28067N,PPhgr16_258,89.982,28.067,0.147,5158,5038,5081,48,14,0,93,Pho Chhu
550,G089982E28114N,PPhgr16_266,89.982,28.114,0.246,5383,5038,5215,63,31,1,59,Pho Chhu
551,G089979E28125N,PPhgr16_267,89.979,28.125,0.558,5418,5082,5249,64,28,1,106,Pho Chhu
552,G089979E28135N,PPhgr16_268,89.979,28.135,0.157,5311,5040,5177,63,27,0,105,Pho Chhu
553,G089975E28140N,PPhgr16_269,89.975,28.14,0.058,5487,5300,5380,53,30,11,112,Pho Chhu
554,G089974E28145N,PPhgr16_271,89.974,28.145,0.235,5501,5127,5325,70,30,1,83,Pho Chhu
555,G089970E28156N,PPhgr16_272,89.97,28.156,0.532,6006,5052,5327,75,35,2,84,Pho Chhu
556,G089880E28108N,PPhgr16_227,89.88,28.108,0.102,5618,5149,5412,62,37,2,121,Pho Chhu
557,G089968E28091N,PPhgr16_253,89.968,28.091,1.53,5667,5030,5379,66,23,0,253,Pho Chhu
558,G089928E28095N,PPhgr16_243,89.928,28.095,0.062,5356,5147,5244,52,30,5,253,Pho Chhu
559,G089975E28110N,PPhgr16_265,89.975,28.11,0.4,5619,5228,5445,70,26,0,109,Pho Chhu
560,G089973E28138N,PPhgr16_248,89.973,28.138,0.176,5483,5196,5346,62,26,1,202,Pho Chhu
561,G089969E28114N,PPhgr16_251,89.969,28.114,1.071,5748,4903,5312,71,35,0,271,Pho Chhu
562,G089946E28170N,PPhgr16_234,89.946,28.17,0.918,7118,6029,6717,74,41,1,157,Pho Chhu
563,G089887E28150N,PPhgr16_231,89.887,28.15,0.104,5576,5314,5406,52,22,1,84,Pho Chhu
564,G089976E28142N,PPhgr16_270,89.976,28.142,0.041,5393,5275,5329,55,34,15,83,Pho Chhu
565,G089973E28121N,PPhgr16_250,89.973,28.121,0.248,5377,4999,5177,73,38,13,293,Pho Chhu
566,G089954E28109N,PPhgr16_246,89.954,28.109,0.128,5400,5264,5336,55,25,1,202,Pho Chhu
567,G089886E28048N,PPhgr16_212,89.886,28.048,0.055,5768,5437,5582,78,45,4,244,Pho Chhu
568,G089867E28097N,PPhgr16_223,89.867,28.097,0.07,5734,5252,5485,69,41,5,171,Pho Chhu
569,G089975E28102N,PPhgr16_263,89.975,28.102,0.348,5658,5252,5438,64,29,1,83,Pho Chhu
570,G090152E28142N,PPhgr16_293,90.152,28.142,33.693,6632,4081,4911,87,22,0,172,Pho Chhu
571,G090041E28098N,PPhgr16_283,90.041,28.098,0.076,5210,5103,5152,56,17,0,151,Pho Chhu
572,G090048E28101N,PPhgr16_281,90.048,28.101,0.038,5461,5334,5392,61,34,12,140,Pho Chhu
573,G090045E28104N,PPhgr16_280,90.045,28.104,0.16,5360,5059,5215,73,30,1,250,Pho Chhu
574,G090045E28108N,PPhgr16_279,90.045,28.108,0.118,5289,5101,5196,63,30,1,256,Pho Chhu
575,G090076E28127N,PPhgr16_284,90.076,28.127,17.462,7035,4109,5092,88,29,0,165,Pho Chhu
576,G090107E28130N,PPhgr16_286,90.107,28.13,5.32,6885,4395,5526,88,37,0,183,Pho Chhu
577,G090119E28122N,PPhgr16_287,90.119,28.122,0.735,6041,4664,5518,76,36,0,238,Pho Chhu
578,G090124E28117N,PPhgr16_288,90.124,28.117,0.887,6220,4852,5573,78,41,1,187,Pho Chhu
579,G090122E28108N,PPhgr16_289,90.122,28.108,0.285,5474,5151,5302,74,29,0,185,Pho Chhu
580,G090128E28111N,PPhgr16_290,90.128,28.111,0.424,5638,5020,5343,65,31,1,191,Pho Chhu
581,G090089E27955N,PPhgr16_356,90.089,27.955,0.078,5275,5059,5182,60,28,2,277,Pho Chhu
582,G090088E27959N,PPhgr16_355,90.088,27.959,0.024,5272,5154,5218,50,26,9,275,Pho Chhu
583,G090135E28120N,PPhgr16_292,90.135,28.12,1.04,6192,4798,5430,78,39,1,108,Pho Chhu
584,G090193E28129N,PPhgr16_295,90.193,28.129,1.258,6435,4827,5554,80,39,0,218,Pho Chhu
585,G090181E28170N,PPhgr16_294,90.181,28.17,6.815,7034,6018,6532,86,25,0,190,Pho Chhu
586,G090245E28132N,PPhgr16_298,90.245,28.132,2.933,6230,4365,5176,75,28,0,182,Pho Chhu
587,G090278E28140N,PPhgr16_299,90.278,28.14,9.698,6666,4440,5585,85,24,0,186,Pho Chhu
588,G090305E28114N,PPhgr16_301,90.305,28.114,1.703,5609,4665,5132,72,23,0,208,Pho Chhu
589,G090326E28112N,PPhgr16_302,90.326,28.112,4.728,5924,4510,5257,81,21,0,173,Pho Chhu
590,G090345E28098N,PPhgr16_303,90.345,28.098,0.274,5567,5220,5385,76,18,0,182,Pho Chhu
591,G090351E28083N,PPhgr16_304,90.351,28.083,7.058,6422,4698,5324,78,27,0,245,Pho Chhu
592,G090356E28064N,PPhgr16_305,90.356,28.064,2.797,6306,4996,5582,71,19,0,231,Pho Chhu
593,G090342E28054N,PPhgr16_306,90.342,28.054,0.653,5397,5136,5285,52,20,0,243,Pho Chhu
594,G090329E28052N,PPhgr16_307,90.329,28.052,0.733,5534,5088,5290,78,20,0,111,Pho Chhu
595,G090318E28050N,PPhgr16_308,90.318,28.05,0.657,5520,5235,5349,61,19,0,258,Pho Chhu
596,G090301E27984N,PPhgr16_321,90.301,27.984,1.375,5782,5343,5522,62,15,0,145,Pho Chhu
597,G090275E27983N,PPhgr16_322,90.275,27.983,3.704,5657,5150,5372,64,16,0,234,Pho Chhu
598,G090256E27986N,PPhgr16_326,90.256,27.986,0.332,5628,5321,5464,60,25,1,85,Pho Chhu
599,G090253E27995N,PPhgr16_328,90.253,27.995,0.112,5572,5365,5464,62,23,1,96,Pho Chhu
600,G090313E28024N,PPhgr16_310,90.313,28.024,8.755,5835,5353,5545,76,12,0,190,Pho Chhu
601,G090289E28017N,PPhgr16_314,90.289,28.017,0.699,5684,5336,5500,67,16,0,246,Pho Chhu
602,G090298E28008N,PPhgr16_311,90.298,28.008,0.531,5786,5431,5565,69,19,1,160,Pho Chhu
603,G090281E28025N,PPhgr16_315,90.281,28.025,0.44,5687,5238,5500,67,22,0,248,Pho Chhu
604,G090280E28032N,PPhgr16_316,90.28,28.032,0.504,5673,5326,5492,57,18,0,260,Pho Chhu
605,G090281E28042N,PPhgr16_317,90.281,28.042,1.514,5562,5182,5376,62,19,0,231,Pho Chhu
606,G090092E27962N,PPhgr16_354,90.092,27.962,0.033,5368,5255,5304,66,30,5,91,Pho Chhu
607,G090096E27965N,PPhgr16_353,90.096,27.965,0.284,5428,5187,5327,70,20,0,139,Pho Chhu
608,G090107E27968N,PPhgr16_352,90.107,27.968,0.622,5486,4971,5204,64,22,0,105,Pho Chhu
609,G090103E27974N,PPhgr16_351,90.103,27.974,0.059,5478,5316,5395,59,25,1,117,Pho Chhu
610,G090110E27978N,PPhgr16_349,90.11,27.978,0.649,5454,5164,5326,66,18,0,160,Pho Chhu
611,G090119E27974N,PPhgr16_348,90.119,27.974,0.504,5484,5112,5281,69,19,0,204,Pho Chhu
612,G090124E27967N,PPhgr16_347,90.124,27.967,0.052,5284,5108,5183,72,24,1,215,Pho Chhu
613,G090132E27967N,PPhgr16_346,90.132,27.967,0.029,5452,5289,5376,64,34,7,118,Pho Chhu
614,G090130E27973N,PPhgr16_345,90.13,27.973,0.526,5503,5082,5314,74,25,1,88,Pho Chhu
639,G090226E27920N,PPhgr16_379,90.226,27.920,1.992,5515,5158,5362,59,12,0,226,Pho Chhu
640,G090221E27910N,PPhgr16_378,90.221,27.91,1.031,5584,4929,5267,64,20,1,256,Pho Chhu
641,G090256E27907N,PPhgr16_363,90.256,27.907,0.279,5568,5225,5423,61,27,0,75,Pho Chhu
642,G090293E28007N,PPhgr16_312,90.293,28.007,0.103,5695,5449,5579,65,25,1,197,Pho Chhu
643,G090028E28124N,PPhgr16_275,90.028,28.124,0.052,5403,5235,5319,65,31,3,219,Pho Chhu
644,G090031E28124N,PPhgr16_276,90.031,28.124,0.092,5502,5270,5372,64,34,3,161,Pho Chhu
645,G090300E28138N,PPhgr16_300,90.3,28.138,2.359,6409,5690,6150,86,24,0,179,Pho Chhu
646,G090286E28010N,PPhgr16_313,90.286,28.01,0.471,5630,5278,5435,58,19,0,277,Pho Chhu
647,G090324E28041N,PPhgr16_309,90.324,28.041,1.142,5836,5373,5534,81,17,0,255,Pho Chhu
648,G090252E27999N,PPhgr16_329,90.252,27.999,0.056,5579,5425,5499,57,37,11,63,Pho Chhu
649,G090227E27927N,PPhgr16_380,90.227,27.927,0.145,5509,5147,5364,59,25,3,265,Pho Chhu
650,G090218E27929N,PPhgr16_381,90.218,27.929,0.29,5365,5165,5288,50,20,1,257,Pho Chhu
651,G090133E28110N,PPhgr16_291,90.133,28.11,0.1,5587,5256,5446,70,44,2,168,Pho Chhu
652,G090203E28120N,PPhgr16_296,90.203,28.12,0.195,5441,5135,5251,76,34,1,108,Pho Chhu
653,G090289E28042N,PPhgr16_318,90.289,28.042,0.039,5528,5374,5450,60,31,4,68,Pho Chhu
654,G090046E28100N,PPhgr16_282,90.046,28.1,0.038,5414,5297,5353,57,30,3,142,Pho Chhu
655,G090142E28023N,PPhgr16_340,90.142,28.023,0.043,5487,5373,5419,61,25,2,191,Pho Chhu
656,G090291E28051N,PPhgr16_319,90.291,28.051,0.047,5422,5216,5314,65,36,4,242,Pho Chhu
657,G090214E27902N,PPhgr16_376,90.214,27.902,0.104,5408,5140,5248,55,25,1,247,Pho Chhu
658,G090211E27867N,PPhgr16_372,90.211,27.867,0.24,5317,5095,5192,58,23,1,229,Pho Chhu
659,G090227E27880N,PPhgr16_370,90.227,27.88,0.14,5202,5065,5119,52,15,1,286,Pho Chhu
660,G090235E27879N,PPhgr16_371,90.235,27.879,0.141,5288,5159,5230,52,18,0,181,Pho Chhu
661,G090234E27900N,PPhgr16_367,90.234,27.9,0.58,5519,5221,5377,66,21,0,134,Pho Chhu
662,G090223E27900N,PPhgr16_377,90.223,27.9,1.196,5613,5090,5354,74,22,0,232,Pho Chhu
663,G090206E27896N,PPhgr16_374,90.206,27.896,0.110,5276,5096,5171,43,18,0,234,Pho Chhu
664,G090249E27903N,PPhgr16_365,90.249,27.903,0.298,5460,5179,5327,57,19,0,156,Pho Chhu
665,G090256E27900N,PPhgr16_364,90.256,27.9,0.045,5312,5255,5279,39,17,2,209,Pho Chhu
666,G090262E27838N,PPhgr16_382,90.262,27.838,0.769,5393,5005,5198,59,19,0,271,Pho Chhu
667,G090252E27837N,PPhgr16_383,90.252,27.837,0.033,5237,5122,5181,53,24,1,90,Pho Chhu
668,G090250E27835N,PPhgr16_384,90.25,27.835,0.138,5261,5073,5169,47,19,1,271,Pho Chhu
669,G090244E27832N,PPhgr16_385,90.244,27.832,0.059,5159,5047,5101,57,25,1,215,Pho Chhu
670,G090241E27828N,PPhgr16_386,90.241,27.828,0.026,5164,5078,5110,59,24,3,295,Pho Chhu
671,G090223E27887N,PPhgr16_369,90.223,27.887,0.038,5355,5194,5273,49,24,5,241,Pho Chhu
672,G090226E27889N,PPhgr16_368,90.226,27.889,0.089,5469,5216,5368,53,28,3,234,Pho Chhu
673,G090206E27866N,PPhgr16_373,90.206,27.866,0.093,5281,5109,5195,61,24,3,252,Pho Chhu
674,G089997E28145N,PPhgr16_273,89.997,28.145,28.922,7200,4376,5223,82,26,0,186,Pho Chhu
675,G090054E28124N,PPhgr16_278,90.054,28.124,0.173,5816,5336,5607,74,45,4,97,Pho Chhu
676,G090090E28137N,PPhgr16_285,90.09,28.137,0.56,6854,4920,5759,88,54,1,242,Pho Chhu
677,G090219E28132N,PPhgr16_297,90.219,28.132,9.236,6874,4307,5411,88,25,0,158,Pho Chhu
678,G090107E27986N,PPhgr16_350,90.107,27.986,0.115,5340,5168,5249,49,20,1,257,Pho Chhu
679,G090164E28031N,PPhgr16_336,90.164,28.031,0.098,5342,5119,5210,69,34,3,199,Pho Chhu
680,G090041E28125N,PPhgr16_277,90.041,28.125,2.566,6231,4672,5341,78,36,0,203,Pho Chhu
681,G090018E28137N,PPhgr16_274,90.018,28.137,0.928,6616,5067,5578,78,38,1,228,Pho Chhu
682,G089837E27904N,PPhgr16_184,89.837,27.904,0.027,5070,4983,5027,39,23,3,277,Pho Chhu
683,G089841E27906N,PPhgr16_183,89.841,27.906,0.057,5266,4991,5127,74,40,5,109,Pho Chhu
684,G090211E27898N,PPhgr16_375,90.211,27.898,0.088,5258,4988,5108,52,26,7,279,Pho Chhu
685,G090218E27811N,PPhgr16_388,90.218,27.811,0.104,5140,4930,5025,68,32,3,260,Pho Chhu
686,G090237E27825N,PPhgr16_387,90.237,27.825,0.051,5163,5044,5096,58,26,5,283,Pho Chhu
687,G090267E28049N,PPhgr16_320,90.267,28.049,0.029,5361, 5239,5304,51,24,2,282,Pho Chhu
688,G089426E27677N,WThgr16_38,89.426,27.677,0.024,5555, 5339,5461,62,37,6,78,Thim Chhu
689,G089413E27714N,WThgr16_36,89.413,27.714,0.647,5325, 5063,5167,56,15,1,66,Thim Chhu
690,G089421E27728N,WThgr16_35,89.421,27.728,1.371,5607, 5108,5271,61,13,0,100,Thim Chhu
691,G089530E27749N,WThgr16_41,89.53,27.749,0.184,5418, 5145,5286,59,28,1,249,Thim Chhu
692,G089535E27758N,WThgr16_42,89.535,27.758,0.175,5317, 5138,5222,45,14,0,71,Thim Chhu
693,G089427E27670N,WThgr16_39,89.427,27.67,0.83,5581, 4937,5259,74,25,0,89,Thim Chhu
694,G089412E27699N,WThgr16_37,89.412,27.699,0.564,5314, 5068,5179,69,18,0,83,Thim Chhu
695,G089560E27787N,WThgr16_44,89.56,27.787,0.232,5704, 5407,5563,82,40,1,161,Thim Chhu
696,G089555E27787N,WThgr16_43,89.555,27.787,0.173,5662, 5294,5499,62,31,3,184,Thim Chhu
697,G089567E27787N,WThgr16_45,89.567,27.787,0.108,5613, 5445,5529,77,33,1,204,Thim Chhu
698,G089575E27786N,WThgr16_46,89.575,27.786,0.268,5777, 5484,5651,73,33,1,186,Thim Chhu
699,G089575E27782N,WThgr16_47,89.575,27.782,0.103,5492, 5161,5338,72,42,3,229,Thim Chhu
700,G089481E27770N,WThgr16_40,89.481,27.77,0.043,5349, 5205,5298,51,27,2,271,Thim Chhu
